Card_ID,Customer_ID,Account_ID,Branch,Card_Number,Card_Type,Card_Network,Credit_Limit,Current_Balance,Issued_Date,Expiry_Date,Status
1,1559,2090,Perez Ltd Branch,4960013389083863,Business,Visa,178393,39819.23,2015-04-13,2019-10-27,Expired
2,1160,2221,Miller Inc Branch,6511615594078161,Platinum,RuPay,416026,175818.58,2015-01-27,2018-12-18,Expired
3,1297,2082,"Miles, Patterson and Murray Branch",6316475255341928,Gold,RuPay,419398,29171.29,2021-06-22,2025-07-19,Active
4,1333,2058,"Shepard, Gonzales and Cooper Branch",3305641395376724,Gold,Amex,385544,265316.71,2019-04-04,2023-10-07,Active
5,1371,2225,Wilson PLC Branch,6287101226916697,Platinum,RuPay,274622,246561.92,2023-05-18,2029-08-26,Expired
6,1349,2115,Newman-Peterson Branch,4462704828148932,Platinum,Visa,407412,360473.43,2022-08-18,2026-04-08,Active
7,1315,2246,"King, Thompson and Roberts Branch",4039117182278248,Business,Visa,306170,5963.19,2021-09-19,2026-07-13,Active
8,1449,2530,Brown LLC Branch,5713315098393010,Gold,MasterCard,259186,257928.78,2022-12-30,2027-09-28,Active
9,1220,2553,"Coffey, Curtis and Garrison Branch",4299737631165667,Silver,Visa,319565,76057.95,2018-09-15,2022-02-06,Expired
10,1255,2197,Wright PLC Branch,4387262473178108,Silver,Visa,431793,146508.49,2015-09-06,2020-12-07,Active
11,1061,2169,"Acosta, Murphy and Rojas Branch",5606474687234309,Silver,MasterCard,304615,146628.99,2016-11-12,2022-02-21,Expired
12,1059,2521,Mclaughlin-Gomez Branch,6121913619399091,Business,RuPay,356277,169868.78,2015-08-23,2018-12-02,Expired
13,1272,2406,"Bell, Parker and Owen Branch",6247510799118384,Gold,RuPay,401129,287285.3,2017-12-04,2022-01-25,Blocked
14,1542,2009,"Crane, Cox and Miller Branch",4841241182449353,Platinum,Visa,199415,31457.08,2017-09-27,2022-10-22,Expired
15,1046,2004,"Wheeler, Henderson and Weeks Branch",3524278680112805,Gold,Amex,98390,62407.25,2017-10-25,2021-02-05,Blocked
16,1367,2216,Olsen and Sons Branch,5315869232260256,Gold,MasterCard,241182,216818.15,2015-06-21,2020-03-12,Blocked
17,1482,2228,Flores and Sons Branch,5375433036541458,Business,MasterCard,106673,40806.87,2023-10-31,2030-10-05,Expired
18,1040,2112,Alvarez-Hampton Branch,6965569816934060,Gold,RuPay,186951,33383.43,2015-04-24,2018-12-15,Blocked
19,1308,2520,"Stafford, Oneal and Williams Branch",3465648236629946,Silver,Amex,223119,139037.81,2015-10-14,2022-07-04,Blocked
20,1477,2453,Byrd Ltd Branch,6738721489513433,Gold,RuPay,461963,267931.51,2017-05-10,2022-10-06,Active
21,1467,2425,Hopkins-Johnston Branch,4936763201632870,Gold,Visa,370483,314813.37,2017-09-29,2023-05-29,Active
22,1454,2517,Gray Ltd Branch,3687277434873471,Platinum,Amex,400002,212453.82,2016-06-30,2022-02-05,Active
23,1237,2393,Russell-Richard Branch,6231665876036690,Business,RuPay,333195,26848.07,2018-10-07,2023-07-22,Blocked
24,1552,2560,Maldonado Ltd Branch,4937346706562729,Silver,Visa,445037,173558.49,2018-12-11,2023-08-13,Blocked
25,1187,2052,"Nelson, Hardy and Fox Branch",4465375564641708,Silver,Visa,274716,37278.82,2015-12-10,2022-07-17,Blocked
26,1032,2254,Garcia Group Branch,5309232719374529,Silver,MasterCard,459591,439959.85,2022-04-16,2025-09-02,Active
27,1407,2204,Rosales-Anderson Branch,6193149190586518,Platinum,RuPay,63462,58949.04,2016-03-18,2022-06-15,Active
28,1157,2446,"Beck, Howe and Perry Branch",3284987769453147,Gold,Amex,277291,266417.75,2020-06-30,2024-02-01,Blocked
29,1500,2218,Morgan Inc Branch,3545494808313678,Gold,Amex,309158,263078.88,2018-10-09,2021-12-05,Expired
30,1096,2302,"Reyes, Campbell and Walton Branch",3363495788568557,Platinum,Amex,307331,137737.93,2022-03-30,2029-03-25,Blocked
31,1549,2190,"Ross, Hayes and Erickson Branch",6337498941343524,Silver,RuPay,428160,82456.89,2017-08-02,2021-04-05,Expired
32,1503,2106,"Harris, Robles and Rogers Branch",5094777520471167,Silver,MasterCard,78587,43486.82,2018-01-28,2021-04-30,Expired
